sample,total_reads,retained_reads,total_barcodes,retained_barcodes
LibA_pre,21536758,20322420,9615680,1504884
LibA_vGen_1,18485491,17421123,7732259,1286293
LibA_vGen_2,18484112,17349530,7393032,1278832
LibA_vGen_3,18059625,17001858,7353352,1284544
LibA_vGen_LamB_1,18121384,16984788,6304149,1032342
LibA_vGen_LamB_2,20548272,19373665,9263231,1474078
LibA_vGen_LamB_3,28016680,26403612,11034429,1306940
LibA_vGen_OmpF_1,18440873,17399028,7759028,1311059
LibA_vGen_OmpF_2,18308966,17243123,7658868,1262205
LibA_vGen_OmpF_3,21257346,20062589,8431809,1349872
LibA_vLspec_1,18228661,17193555,7117515,1232751
LibA_vLspec_2,22721312,21425682,9218174,1361693
LibA_vLspec_3,19063825,17933074,7432207,1201921
LibA_vOspec_1,21524743,20340163,9150654,1314347
LibA_vOspec_2,21625936,20402090,9174995,1417534
LibA_vOspec_3,19562975,18432341,8910946,1479550
LibB_pre,17314019,16277950,7924903,1375623
LibB_vGen_1,20334575,19169617,9178354,1464099
LibB_vGen_2,21043423,19871734,8334883,1396798
LibB_vGen_3,19619831,18357858,7790406,1189626
LibB_vGen_LamB_1,19519430,18330598,8249694,1368665
LibB_vGen_LamB_2,18545775,17403933,7979985,1186832
LibB_vGen_LamB_3,20855525,19653015,8778775,1360703
LibB_vGen_OmpF_1,18081193,16953548,7952547,1317043
LibB_vGen_OmpF_2,25088144,23644340,10732714,1386740
LibB_vGen_OmpF_3,19434449,18283488,8405639,1418911
LibB_vLspec_1,19713303,18572765,8341297,1368128
LibB_vLspec_2,24433641,23071220,10308241,1508562
LibB_vLspec_3,18427735,17319573,8133495,1400231
LibB_vOspec_1,16508416,15529520,7959310,1331473
LibB_vOspec_2,17624666,16551923,7899799,1353259
LibB_vOspec_3,20110236,18938251,8370929,1369186
lyso_1a,31349993,29995832,10874179,1792161
lyso_1b,29503891,28226421,11013981,1887681
lyso_2a,29720106,28394961,9574206,1600581
lyso_2b,29753717,28424481,9584166,1636865
